fil_lokasjon,navn,kjønn,bilde_år,kjendis_id
2336\nm0000093_rm109156352_1963-12-18_2005.jpg,Brad Pitt,mann,2005,2336
2336\nm0000093_rm1104648192_1963-12-18_2008.jpg,Brad Pitt,mann,2008,2336
2336\nm0000093_rm1122540288_1963-12-18_2002.jpg,Brad Pitt,mann,2002,2336
2336\nm0000093_rm1124049920_1963-12-18_2013.jpg,Brad Pitt,mann,2013,2336
2336\nm0000093_rm1134068736_1963-12-18_2006.jpg,Brad Pitt,mann,2006,2336
2336\nm0000093_rm1239189760_1963-12-18_2009.jpg,Brad Pitt,mann,2009,2336
2336\nm0000093_rm125933568_1963-12-18_2005.jpg,Brad Pitt,mann,2005,2336
2336\nm0000093_rm1296865792_1963-12-18_2008.jpg,Brad Pitt,mann,2008,2336
2336\nm0000093_rm1339529216_1963-12-18_2008.jpg,Brad Pitt,mann,2008,2336
2336\nm0000093_rm1345690112_1963-12-18_2004.jpg,Brad Pitt,mann,2004,2336
2336\nm0000093_rm1348969472_1963-12-18_2013.jpg,Brad Pitt,mann,2013,2336
2336\nm0000093_rm1451096576_1963-12-18_2014.jpg,Brad Pitt,mann,2014,2336
2336\nm0000093_rm1625135872_1963-12-18_2007.jpg,Brad Pitt,mann,2007,2336
2336\nm0000093_rm166042368_1963-12-18_2007.jpg,Brad Pitt,mann,2007,2336
2336\nm0000093_rm1708299264_1963-12-18_2008.jpg,Brad Pitt,mann,2008,2336
2336\nm0000093_rm1725799168_1963-12-18_2007.jpg,Brad Pitt,mann,2007,2336
2336\nm0000093_rm1740871680_1963-12-18_2000.jpg,Brad Pitt,mann,2000,2336
2336\nm0000093_rm1803068416_1963-12-18_2013.jpg,Brad Pitt,mann,2013,2336
2336\nm0000093_rm187930624_1963-12-18_1998.jpg,Brad Pitt,mann,1998,2336
2336\nm0000093_rm2247137280_1963-12-18_2006.jpg,Brad Pitt,mann,2006,2336
2336\nm0000093_rm2263914496_1963-12-18_2006.jpg,Brad Pitt,mann,2006,2336
2336\nm0000093_rm2274330368_1963-12-18_2010.jpg,Brad Pitt,mann,2010,2336
2336\nm0000093_rm2280691712_1963-12-18_2006.jpg,Brad Pitt,mann,2006,2336
2336\nm0000093_rm2293864448_1963-12-18_2007.jpg,Brad Pitt,mann,2007,2336
2336\nm0000093_rm2307884800_1963-12-18_2010.jpg,Brad Pitt,mann,2010,2336
2336\nm0000093_rm2361755904_1963-12-18_2009.jpg,Brad Pitt,mann,2009,2336
2336\nm0000093_rm2375392000_1963-12-18_2007.jpg,Brad Pitt,mann,2007,2336
2336\nm0000093_rm2378533120_1963-12-18_2009.jpg,Brad Pitt,mann,2009,2336
2336\nm0000093_rm2395310336_1963-12-18_2009.jpg,Brad Pitt,mann,2009,2336
2336\nm0000093_rm2411115776_1963-12-18_2012.jpg,Brad Pitt,mann,2012,2336
2336\nm0000093_rm2412087552_1963-12-18_2009.jpg,Brad Pitt,mann,2009,2336
2336\nm0000093_rm2419182592_1963-12-18_1993.jpg,Brad Pitt,mann,1993,2336
2336\nm0000093_rm2427749376_1963-12-18_2010.jpg,Brad Pitt,mann,2010,2336
2336\nm0000093_rm2492832512_1963-12-18_2007.jpg,Brad Pitt,mann,2007,2336
2336\nm0000093_rm2514392064_1963-12-18_2008.jpg,Brad Pitt,mann,2008,2336
2336\nm0000093_rm2525988608_1963-12-18_2010.jpg,Brad Pitt,mann,2010,2336
2336\nm0000093_rm2530576896_1963-12-18_2008.jpg,Brad Pitt,mann,2008,2336
2336\nm0000093_rm2531169280_1963-12-18_2008.jpg,Brad Pitt,mann,2008,2336
2336\nm0000093_rm2671622400_1963-12-18_2011.jpg,Brad Pitt,mann,2011,2336
2336\nm0000093_rm2686032640_1963-12-18_2006.jpg,Brad Pitt,mann,2006,2336
2336\nm0000093_rm2712177152_1963-12-18_2008.jpg,Brad Pitt,mann,2008,2336
2336\nm0000093_rm2719587072_1963-12-18_2006.jpg,Brad Pitt,mann,2006,2336
2336\nm0000093_rm275356416_1963-12-18_1998.jpg,Brad Pitt,mann,1998,2336
2336\nm0000093_rm27564800_1963-12-18_2007.jpg,Brad Pitt,mann,2007,2336
2336\nm0000093_rm2782697472_1963-12-18_2000.jpg,Brad Pitt,mann,2000,2336
2336\nm0000093_rm2856160768_1963-12-18_1997.jpg,Brad Pitt,mann,1997,2336
2336\nm0000093_rm2863172096_1963-12-18_2008.jpg,Brad Pitt,mann,2008,2336
2336\nm0000093_rm2864100608_1963-12-18_2012.jpg,Brad Pitt,mann,2012,2336
2336\nm0000093_rm2879949312_1963-12-18_2008.jpg,Brad Pitt,mann,2008,2336
2336\nm0000093_rm2884996096_1963-12-18_2005.jpg,Brad Pitt,mann,2005,2336
2336\nm0000093_rm2937690880_1963-12-18_2006.jpg,Brad Pitt,mann,2006,2336
2336\nm0000093_rm2966408192_1963-12-18_1992.jpg,Brad Pitt,mann,1992,2336
2336\nm0000093_rm2969427456_1963-12-18_2013.jpg,Brad Pitt,mann,2013,2336
2336\nm0000093_rm3073148928_1963-12-18_2009.jpg,Brad Pitt,mann,2009,2336
2336\nm0000093_rm3096413952_1963-12-18_2010.jpg,Brad Pitt,mann,2010,2336
2336\nm0000093_rm3099040512_1963-12-18_2007.jpg,Brad Pitt,mann,2007,2336
2336\nm0000093_rm3099433728_1963-12-18_2008.jpg,Brad Pitt,mann,2008,2336
2336\nm0000093_rm3124140032_1963-12-18_2004.jpg,Brad Pitt,mann,2004,2336
2336\nm0000093_rm3132992512_1963-12-18_2012.jpg,Brad Pitt,mann,2012,2336
2336\nm0000093_rm3134180352_1963-12-18_1992.jpg,Brad Pitt,mann,1992,2336
2336\nm0000093_rm3173095936_1963-12-18_2007.jpg,Brad Pitt,mann,2007,2336
2336\nm0000093_rm3189742080_1963-12-18_2002.jpg,Brad Pitt,mann,2002,2336
2336\nm0000093_rm3189873152_1963-12-18_2007.jpg,Brad Pitt,mann,2007,2336
2336\nm0000093_rm3206519296_1963-12-18_2002.jpg,Brad Pitt,mann,2002,2336
2336\nm0000093_rm3218066432_1963-12-18_1992.jpg,Brad Pitt,mann,1992,2336
2336\nm0000093_rm3233846528_1963-12-18_2008.jpg,Brad Pitt,mann,2008,2336
2336\nm0000093_rm3308429568_1963-12-18_2013.jpg,Brad Pitt,mann,2013,2336
2336\nm0000093_rm3345652480_1963-12-18_2006.jpg,Brad Pitt,mann,2006,2336
2336\nm0000093_rm3425881088_1963-12-18_1998.jpg,Brad Pitt,mann,1998,2336
2336\nm0000093_rm3442658304_1963-12-18_1998.jpg,Brad Pitt,mann,1998,2336
2336\nm0000093_rm3636694272_1963-12-18_2007.jpg,Brad Pitt,mann,2007,2336
2336\nm0000093_rm3647587840_1963-12-18_2014.jpg,Brad Pitt,mann,2014,2336
2336\nm0000093_rm3664616192_1963-12-18_2007.jpg,Brad Pitt,mann,2007,2336
2336\nm0000093_rm3676412416_1963-12-18_2002.jpg,Brad Pitt,mann,2002,2336
2336\nm0000093_rm3687684096_1963-12-18_2004.jpg,Brad Pitt,mann,2004,2336
2336\nm0000093_rm3698170624_1963-12-18_2007.jpg,Brad Pitt,mann,2007,2336
2336\nm0000093_rm3704461312_1963-12-18_2004.jpg,Brad Pitt,mann,2004,2336
2336\nm0000093_rm3711028224_1963-12-18_1994.jpg,Brad Pitt,mann,1994,2336
2336\nm0000093_rm3721238528_1963-12-18_2004.jpg,Brad Pitt,mann,2004,2336
2336\nm0000093_rm3754792960_1963-12-18_2004.jpg,Brad Pitt,mann,2004,2336
2336\nm0000093_rm377330176_1963-12-18_2001.jpg,Brad Pitt,mann,2001,2336
2336\nm0000093_rm3773995776_1963-12-18_2006.jpg,Brad Pitt,mann,2006,2336
2336\nm0000093_rm3789522944_1963-12-18_2009.jpg,Brad Pitt,mann,2009,2336
2336\nm0000093_rm3790772992_1963-12-18_2006.jpg,Brad Pitt,mann,2006,2336
2336\nm0000093_rm392537856_1963-12-18_2013.jpg,Brad Pitt,mann,2013,2336
2336\nm0000093_rm39623168_1963-12-18_2007.jpg,Brad Pitt,mann,2007,2336
2336\nm0000093_rm4015692032_1963-12-18_2006.jpg,Brad Pitt,mann,2006,2336
2336\nm0000093_rm4024403968_1963-12-18_2009.jpg,Brad Pitt,mann,2009,2336
2336\nm0000093_rm4050295552_1963-12-18_2006.jpg,Brad Pitt,mann,2006,2336
2336\nm0000093_rm409525760_1963-12-18_2013.jpg,Brad Pitt,mann,2013,2336
2336\nm0000093_rm4155802624_1963-12-18_2010.jpg,Brad Pitt,mann,2010,2336
2336\nm0000093_rm4167736064_1963-12-18_2006.jpg,Brad Pitt,mann,2006,2336
2336\nm0000093_rm4184513280_1963-12-18_2006.jpg,Brad Pitt,mann,2006,2336
2336\nm0000093_rm426302976_1963-12-18_2013.jpg,Brad Pitt,mann,2013,2336
2336\nm0000093_rm4266367232_1963-12-18_1999.jpg,Brad Pitt,mann,1999,2336
2336\nm0000093_rm435263232_1963-12-18_2008.jpg,Brad Pitt,mann,2008,2336
2336\nm0000093_rm443128576_1963-12-18_1998.jpg,Brad Pitt,mann,1998,2336
2336\nm0000093_rm450070528_1963-12-18_2009.jpg,Brad Pitt,mann,2009,2336
2336\nm0000093_rm516672000_1963-12-18_2014.jpg,Brad Pitt,mann,2014,2336
2336\nm0000093_rm527014656_1963-12-18_1998.jpg,Brad Pitt,mann,1998,2336
2336\nm0000093_rm626689280_1963-12-18_1994.jpg,Brad Pitt,mann,1994,2336
2336\nm0000093_rm661308928_1963-12-18_2014.jpg,Brad Pitt,mann,2014,2336
2336\nm0000093_rm700421120_1963-12-18_2008.jpg,Brad Pitt,mann,2008,2336
2336\nm0000093_rm733975552_1963-12-18_2008.jpg,Brad Pitt,mann,2008,2336
2336\nm0000093_rm73636608_1963-12-18_2001.jpg,Brad Pitt,mann,2001,2336
2336\nm0000093_rm75601920_1963-12-18_2005.jpg,Brad Pitt,mann,2005,2336
2336\nm0000093_rm844929536_1963-12-18_2007.jpg,Brad Pitt,mann,2007,2336
2336\nm0000093_rm861706752_1963-12-18_2007.jpg,Brad Pitt,mann,2007,2336
2336\nm0000093_rm89954816_1963-12-18_2007.jpg,Brad Pitt,mann,2007,2336
2336\nm0000093_rm90413824_1963-12-18_2001.jpg,Brad Pitt,mann,2001,2336
2336\nm0000093_rm919449600_1963-12-18_2008.jpg,Brad Pitt,mann,2008,2336
2336\nm0000093_rm92379136_1963-12-18_2005.jpg,Brad Pitt,mann,2005,2336
2336\nm0000093_rm952473600_1963-12-18_1999.jpg,Brad Pitt,mann,1999,2336
2336\nm0000093_rm969250816_1963-12-18_1999.jpg,Brad Pitt,mann,1999,2336
2336\nm0000093_rm981571584_1963-12-18_2005.jpg,Brad Pitt,mann,2005,2336
2336\nm0000093_rm998348800_1963-12-18_2005.jpg,Brad Pitt,mann,2005,2336
20048\nm0000095_rm1193252608_1935-12-1_2008.jpg,Woody Allen,mann,2008,20048
20048\nm0000095_rm2577321472_1935-12-1_1983.jpg,Woody Allen,mann,1983,20048
20048\nm0000095_rm3916793088_1935-12-1_1972.jpg,Woody Allen,mann,1972,20048
6924\nm0000096_rm1410783744_1968-8-9_1993.jpg,Gillian Anderson,dame,1993,6924
6924\nm0000096_rm1427560960_1968-8-9_1993.jpg,Gillian Anderson,dame,1993,6924
6924\nm0000096_rm1595333120_1968-8-9_1993.jpg,Gillian Anderson,dame,1993,6924
6924\nm0000096_rm1742985984_1968-8-9_1993.jpg,Gillian Anderson,dame,1993,6924
6924\nm0000096_rm2034342656_1968-8-9_1998.jpg,Gillian Anderson,dame,1998,6924
6924\nm0000096_rm2420808192_1968-8-9_1998.jpg,Gillian Anderson,dame,1998,6924
6924\nm0000096_rm2500178688_1968-8-9_2011.jpg,Gillian Anderson,dame,2011,6924
6924\nm0000096_rm2584064768_1968-8-9_2011.jpg,Gillian Anderson,dame,2011,6924
6924\nm0000096_rm2638912000_1968-8-9_1998.jpg,Gillian Anderson,dame,1998,6924
6924\nm0000096_rm2655689216_1968-8-9_1998.jpg,Gillian Anderson,dame,1998,6924
6924\nm0000096_rm2821512192_1968-8-9_1993.jpg,Gillian Anderson,dame,1993,6924
6924\nm0000096_rm2871843840_1968-8-9_1993.jpg,Gillian Anderson,dame,1993,6924
6924\nm0000096_rm3309278976_1968-8-9_2008.jpg,Gillian Anderson,dame,2008,6924
6924\nm0000096_rm3326056192_1968-8-9_2008.jpg,Gillian Anderson,dame,2008,6924
6924\nm0000096_rm3342833408_1968-8-9_2008.jpg,Gillian Anderson,dame,2008,6924
6924\nm0000096_rm3369644032_1968-8-9_2011.jpg,Gillian Anderson,dame,2011,6924
6924\nm0000096_rm3856308992_1968-8-9_1998.jpg,Gillian Anderson,dame,1998,6924
6924\nm0000096_rm3873086208_1968-8-9_1998.jpg,Gillian Anderson,dame,1998,6924
6924\nm0000096_rm4015241728_1968-8-9_2010.jpg,Gillian Anderson,dame,2010,6924
6924\nm0000096_rm4232025856_1968-8-9_2008.jpg,Gillian Anderson,dame,2008,6924
6924\nm0000096_rm4248803072_1968-8-9_2008.jpg,Gillian Anderson,dame,2008,6924
6924\nm0000096_rm4265580288_1968-8-9_2008.jpg,Gillian Anderson,dame,2008,6924
6924\nm0000096_rm714583552_1968-8-9_2011.jpg,Gillian Anderson,dame,2011,6924
6924\nm0000096_rm781692416_1968-8-9_2011.jpg,Gillian Anderson,dame,2011,6924
8811\nm0000098_rm1027529728_1969-2-11_1994.jpg,Jennifer Aniston,dame,1994,8811
