,dob,photo_taken,full_path,gender,name,face_score,second_face_score,celeb_names,celeb_id,loc1,loc2,loc3,loc4
1739,717323,2005,93/nm0000093_rm109156352_1963-12-18_2005.jpg,1.0,Brad Pitt,4.350562216321631,,Barret Swatek,2336,23.94623624218187,117.51518121090936,233.92236242181875,327.4913073905462
1742,717323,2008,93/nm0000093_rm1104648192_1963-12-18_2008.jpg,1.0,Brad Pitt,4.258162613142102,,Barry Ackroyd,2336,83.49870877341131,111.1542783645484,207.41677193352825,235.07234152466538
1746,717323,2002,93/nm0000093_rm1122540288_1963-12-18_2002.jpg,1.0,Brad Pitt,4.941597215595277,,Barry Cahill,2336,98.01638662782044,84.09604568098895,222.72545514930388,208.80511420247242
1747,717323,2013,93/nm0000093_rm1124049920_1963-12-18_2013.jpg,1.0,Brad Pitt,5.356910140785894,,Barry Corbin,2336,372.77560009473257,465.4575001184157,1204.864700307881,1297.5466003315642
1753,717323,2006,93/nm0000093_rm1134068736_1963-12-18_2006.jpg,1.0,Brad Pitt,5.320949256971403,,Barry Levinson,2336,399.38400361130164,399.38400361130164,844.3390076740161,844.3390076740161
1772,717323,2009,93/nm0000093_rm1239189760_1963-12-18_2009.jpg,1.0,Brad Pitt,4.525686042778571,,Bart Hansard,2336,71.208,71.208,229.632,229.632
1775,717323,2005,93/nm0000093_rm125933568_1963-12-18_2005.jpg,1.0,Brad Pitt,4.386384319627163,,Bas Rutten,2336,77.43902575031366,77.43902575031366,215.28367210087825,215.28367210087825
1780,717323,2008,93/nm0000093_rm1296865792_1963-12-18_2008.jpg,1.0,Brad Pitt,5.097816031353994,,Bassem Samra,2336,73.28416391522956,85.40252456776781,181.77540978807397,193.89377044061214
1792,717323,2008,93/nm0000093_rm1339529216_1963-12-18_2008.jpg,1.0,Brad Pitt,4.568306866208006,,Beau Bridges,2336,108.49474216208223,86.90539372966579,205.09881010795627,183.50946167553982
1794,717323,2004,93/nm0000093_rm1345690112_1963-12-18_2004.jpg,1.0,Brad Pitt,4.278004546313136,,Beau Mirchoff,2336,87.6122566502289,87.6122566502289,217.53564162557225,217.53564162557225
1795,717323,2013,93/nm0000093_rm1348969472_1963-12-18_2013.jpg,1.0,Brad Pitt,4.369355605960271,,Beau Starr,2336,1196.1236758932346,528.8460923058389,1510.1545312767378,842.876947689342
1807,717323,2014,93/nm0000093_rm1451096576_1963-12-18_2014.jpg,1.0,Brad Pitt,4.616072252642788,,Becky Baeling,2336,529.0156677515998,303.17238157234266,1204.4975262893706,978.6542401101137
1835,717323,2007,93/nm0000093_rm1625135872_1963-12-18_2007.jpg,1.0,Brad Pitt,5.3088913140356615,,Ben Becker,2336,69.60751284585915,86.86489105732393,224.34591674904223,241.60329496050704
1842,717323,2007,93/nm0000093_rm166042368_1963-12-18_2007.jpg,1.0,Brad Pitt,4.906467605537067,,Ben Cotton,2336,72.96273769205283,91.07142211506606,235.41289749917166,253.52158192218488
1851,717323,2008,93/nm0000093_rm1708299264_1963-12-18_2008.jpg,1.0,Brad Pitt,4.91670032379421,,Ben Falcone,2336,70.02342501776235,58.43818751480197,173.7785625444059,162.19332504144552
